1,145
2,139
3,117
4,105
5,98
6,113
7,116
8,112
9,112
10,114
11,113
12,117
13,115
14,115
15,118
16,112
17,114
18,119
19,123
20,123
21,122
22,122
23,123
24,124
25,127
26,133
27,132
28,133
29,130
30,129
31,132
32,129
33,129
34,129
35,122
36,122
37,121
38,122
39,118
40,112
41,108
42,100
43,106
44,109
45,108
46,104
47,100
48,100
49,100
50,102
51,107
52,108
53,110
54,110
55,108
56,108
57,103
58,104
59,104
60,101
61,95
62,95
63,97
64,88
65,90
66,78
67,81
68,68
69,70
70,75
71,77
72,77
73,87
74,89
75,94
76,98
77,95
78,98
79,97
80,99
81,91
82,92
83,89
84,91
85,92
86,96
87,95
88,97
89,96
90,94
91,100
92,101
93,108
94,106
95,104
96,105
97,104
98,105
99,106
